id,category,name_ko,specification,quantity,scope,owner_role,status,source_license
EV05_door,Environment,공동 실험실 door,2m grid; 1024~2048 tiling; FBX/PNG,2,Full,Art,Planned,To confirm
EV05_decal,Environment,공동 실험실 decal,2m grid; 1024~2048 tiling; FBX/PNG,6,Full,Art,Planned,To confirm
EV06_wall,Environment,폐문 중심부 wall,2m grid; 1024~2048 tiling; FBX/PNG,4,Full,Art,Planned,To confirm
EV06_floor,Environment,폐문 중심부 floor,2m grid; 1024~2048 tiling; FBX/PNG,3,Full,Art,Planned,To confirm
EV06_door,Environment,폐문 중심부 door,2m grid; 1024~2048 tiling; FBX/PNG,2,Full,Art,Planned,To confirm
EV06_decal,Environment,폐문 중심부 decal,2m grid; 1024~2048 tiling; FBX/PNG,6,Full,Art,Planned,To confirm
SK001_VFX,VFX,파편격,Prefab + 256/512 texture; see VFX board,1,VS,Art,Planned,To confirm
SK002_VFX,VFX,회수,Prefab + 256/512 texture; see VFX board,1,VS,Art,Planned,To confirm
SK003_VFX,VFX,잔금막,Prefab + 256/512 texture; see VFX board,1,VS,Art,Planned,To confirm
SK004_VFX,VFX,견인선,Prefab + 256/512 texture; see VFX board,1,VS,Art,Planned,To confirm
SK005_VFX,VFX,반납,Prefab + 256/512 texture; see VFX board,1,Full,Art,Planned,To confirm
SK006_VFX,VFX,해체점,Prefab + 256/512 texture; see VFX board,1,Full,Art,Planned,To confirm
SK007_VFX,VFX,귀환로,Prefab + 256/512 texture; see VFX board,1,Full,Art,Planned,To confirm
SK008_VFX,VFX,회수권역,Prefab + 256/512 texture; see VFX board,1,Full,Art,Planned,To confirm
UI01,UI,타이틀,1920x1080 layout; icon128 PNG; font license,1,VS,Art,Planned,To confirm
UI02,UI,HUD,1920x1080 layout; icon128 PNG; font license,1,VS,Art,Planned,To confirm
UI03,UI,거점,1920x1080 layout; icon128 PNG; font license,1,VS,Art,Planned,To confirm
UI04,UI,연구,1920x1080 layout; icon128 PNG; font license,1,VS,Art,Planned,To confirm
UI05,UI,임무,1920x1080 layout; icon128 PNG; font license,1,VS,Art,Planned,To confirm
UI06,UI,결과,1920x1080 layout; icon128 PNG; font license,1,VS,Art,Planned,To confirm
UI07,UI,설정,1920x1080 layout; icon128 PNG; font license,1,VS,Art,Planned,To confirm
UI08,UI,아이템 아이콘,1920x1080 layout; icon128 PNG; font license,8,VS,Art,Planned,To confirm
AN_TK01,Animation,태경 모션 묶음,FBX 30fps; animation_list.csv,26,VS,Art,Planned,To confirm
AN_NPC,Animation,NPC와 보스 모션 묶음,FBX 30fps; animation_list.csv,30,Full,Art,Planned,To confirm
AU_ALL,Audio,음악 효과음 보이스 묶음,48kHz 24bit WAV; sound_list.csv,43,Full,Audio,Planned,To confirm
CS_ALL,Cutscene,주요 장면 시퀀스,Timeline + subtitles; no full facial mocap,12,Full,Art,Planned,To confirm
STORE01,Marketing,스토어 캡슐,Platform current template; layered source,4,Full,Art,Planned,To confirm
STORE02,Marketing,실제 게임 스크린샷,1920x1080 or above; capture after build,7,Full,Art,Planned,To confirm
STORE03,Marketing,60초 트레일러,1920x1080 video; capture after build,1,Full,Art,Planned,To confirm
